Station_Year,Year,Method,Station.Code,Period,Intended.Period,Date,Species.Code,Total.Number,Start.Time,X0.3min..50m,X0.3min..50m.1,X0.3min.flyovers,X3.5min..50m,X3.5min..50m.1,X3.5min.flyovers,X5.10min..50m,X5.10min..50m.1,X5.10min.flyovers,Exclude.Data,Exclude.Reason...Comments,Breeder,X,tagmeth,lat,lon,date,dur,dis,time,offset
BCDS_2012,2012,PC,BCDS,7,7,7-Jul-12,RWBL,3,4:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,7/7/2012,10,Inf,4:25,1.1343
BCDS_2012,2012,PC,BCDS,7,7,7-Jul-12,WTSP,3,4:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,7/7/2012,10,Inf,4:25,1.1959
BCDS_2012,2012,PC,BCDS,7,7,7-Jul-12,REVI,2,4:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,7/7/2012,10,Inf,4:25,-0.2711
BCDS_2012,2012,PC,BCDS,7,7,7-Jul-12,BCCH,1,4:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,7/7/2012,10,Inf,4:25,0.6847
BCDS_2012,2012,PC,BCDS,7,7,7-Jul-12,CHSP,1,4:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,7/7/2012,10,Inf,4:25,0.6395
BCDS_2012,2012,PC,BCDS,7,7,7-Jul-12,MAWR,1,4:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,7/7/2012,10,Inf,4:25,0.869
BCDS_2012,2012,PC,BCDS,7,7,7-Jul-12,RNGR,1,4:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCDS_2012,2012,PC,BCDS,7,7,7-Jul-12,SWSP,1,4:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,7/7/2012,10,Inf,4:25,0.9338
BCDS_2012,2012,PC,BCDS,8,8,13-Jul-12,LEFL,3,4:38,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,7/13/2012,10,Inf,4:38,0.2596
BCDS_2012,2012,PC,BCDS,8,8,13-Jul-12,REVI,2,4:38,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,7/13/2012,10,Inf,4:38,-0.4661
BCDS_2012,2012,PC,BCDS,8,8,13-Jul-12,WTSP,2,4:38,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,7/13/2012,10,Inf,4:38,1.1959
BCDS_2012,2012,PC,BCDS,8,8,13-Jul-12,OVEN,1,4:38,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,7/13/2012,10,Inf,4:38,-6.287
BCDS_2012,2012,PC,BCDS,8,8,13-Jul-12,RNGR,1,4:38,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCDS_2012,2012,PC,BCDS,8,8,13-Jul-12,SWSP,1,4:38,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,7/13/2012,10,Inf,4:38,0.9299
BCDS_2012,2012,PC,BCDS,8,8,13-Jul-12,SWTH,1,4:38,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,7/13/2012,10,Inf,4:38,0.9268
BCDS_2012,2012,PC,BCDS,8,8,13-Jul-12,YEWA,1,4:38,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,7/13/2012,10,Inf,4:38,0.4456
